BAIRRO,NU_NOTIFICAÇÕES CONFIRMADAS,2. ÓBITO PELO AGRAVO NOTIFICADO,NU_IDADE_< 1 /Masculino,NU_IDADE_< 1 /Feminino,NU_IDADE_1 a 4/ Masculino,NU_IDADE_1 a 4/ Feminino,NU_IDADE_5 a 9/Masculino,NU_IDADE_5 a 9/Feminino,NU_IDADE_10 a 19/Masculino,NU_IDADE_10 a 19/Feminino,NU_IDADE_20 a 39/Masculino,NU_IDADE_20 a 39/Feminino,NU_IDADE_40 a 59/Masculino,NU_IDADE_40 a 59/Feminino,NU_IDADE_60 a 69 /Masculino,NU_IDADE_> 60 a 69 /Feminino,NU_IDADE_70 a 79 /Masculino,NU_IDADE_> 70 a 79 /Feminino,NU_IDADE_ >80 /Masculino,NU_IDADE_> 80/Feminino
Alecrim,660,28,0,0,0,0,0,0,0,0,2,0,4,3,3,2,2,2,3,5
Areia Preta,118,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1
Barro Vermelho,308,8,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1
Cidade Alta,140,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1
Lagoa Seca,125,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1
Mãe Luíza,219,13,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,2,1,1
Petrópolis,252,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0
Praia do Meio,94,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Ribeira,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Rocas,251,18,0,0,0,0,0,0,0,0,2,1,1,1,0,2,1,2,3,5
Santos Reis,88,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2
Tirol,369,17,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,2,1,6
LESTE,2683,117,0,0,0,0,0,0,0,0,5,1,7,12,10,9,15,15,15,25
%,"22,37","23,54",0,0,0,0,0,0,0,0,"0,04","0,01","0,06","0,1","0,08","0,08","0,13","0,13","0,13","0,21"
Lagoa Azul,7,28,0,0,0,0,0,0,0,0,1,1,5,4,2,2,5,4,2,2
PajuÇara,657,29,0,0,0,0,0,0,0,0,0,0,6,2,3,1,5,7,3,1
Redinha,154,12,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,3,1,1
NORTE I,818,69,0,0,0,0,0,0,0,0,2,1,12,7,6,4,12,14,6,4
%,"6,82","13,88",0,0,0,0,0,0,0,0,"0,02","0,01","0,1","0,06","0,05","0,03","0,1","0,12","0,05","0,03"
Igapó,328,12,0,0,0,0,0,0,0,0,0,1,2,0,2,1,3,0,2,1
Nossa Senhora da Apresentação,669,35,0,0,0,0,0,0,0,0,2,0,6,5,7,2,2,5,4,1
Potengi,17,44,0,0,0,0,0,0,0,0,1,0,6,4,6,4,7,7,2,6
Salinas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTE II,1015,91,0,0,0,0,0,0,0,0,3,1,14,9,15,7,12,12,8,8
%,"8,46","18,31",0,0,0,0,0,0,0,0,"0,03","0,01","0,12","0,08","0,13","0,06","0,1","0,1","0,07","0,07"
Bom Pastor,209,20,0,0,0,0,0,0,0,0,1,0,2,5,0,1,1,1,4,4
Cidade da Esperança,419,20,0,0,0,0,0,0,0,0,1,0,2,0,3,1,1,2,3,6
Cidade Nova,180,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
DIX-SEPT ROSADO,251,15,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,2,1,5
Felipe Camarão,549,31,0,0,0,0,0,0,0,0,0,0,6,4,4,2,2,4,3,5
Guarapes,87,7,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,2
Nordeste,151,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,2,2
Nossa Senhora de Nazaré,333,11,0,0,0,0,0,0,0,0,2,1,1,0,1,2,0,3,1,0
Quintas,436,19,0,0,1,0,0,0,0,0,0,0,1,2,3,1,1,3,1,6
OESTE,2615,135,0,0,1,0,0,0,0,0,4,3,12,15,18,8,7,16,17,30
%,"21,8","27,16",0,0,"0,01",0,0,0,0,0,"0,03","0,03","0,1","0,13","0,15","0,07","0,06","0,13","0,14","0,25"
Candelária,656,11,0,0,0,0,0,0,0,0,0,0,3,1,2,1,1,0,2,0
Capim Macio,547,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4
Lagoa Nova,1561,19,0,0,0,0,0,0,0,0,1,1,1,1,2,1,0,2,7,3
Neópolis,512,11,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,3,1
Nova Descoberta,222,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Pitimbu,562,15,0,0,0,0,0,0,0,0,1,0,3,0,2,0,3,2,4,0
Planalto,358,11,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,3,2,1
Ponta Negra,444,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,2
SUL,4862,85,0,0,0,0,0,0,0,0,2,3,9,5,7,5,7,10,22,11
%,"40,54","17,1",0,0,0,0,0,0,0,0,"0,02","0,03","0,08","0,04","0,06","0,04","0,06","0,08","0,18","0,09"
